1,Fog,Clash,Frost,Wind,Sea,Heat,South,East,West,North,Sun,Blaze,Bloom,Snow,Peace,Land,Flash,Warmth,Heat,Joy,Cool,Light,Pain,Shame,Fear,War,Oh,Cross,Stress,Scorn,Hurt,Shock,Guile,Charm,Fame,Ease,Wins,Truce,Gains,Peace,Jokes,Game,Rest,Mild,Beam,Smoke,Buck,Fish,Gold,Pearl,Tree,Flame,Stork,Frog,Lamb,Ox,Straw,Steam,Peak,Flood,Glow,Foam,Fruit,Ash,Roof,Pool,Field,Man,Work,Strain,Art,Play,Ship,Mouth,Prince,Rage,Care,Greed,Sleep,Praise,Prize,Luck,Strife,Port,Kiss,Throne,Death,Shroud,Gold,Strong,Hard,Right,Long,Great,White,One,Yea,Air,Fire,High,Wide,Bad,Weak,Plain,Bent,Broad,Small,Black,Three,Nay,Earth,Flood,Deep,Love,Wise,Wit,Mind,Soul,Friend,Joy,Grace,Fame,Peace,Play,Praise,Hate,Lies,Wine,Meat,Flesh,Foe,Woe,Shame,Angst,Strife,Pain
2,From Night,Come Day,From Ache,Come Joy,The Moon,Love Sheen,The Guard,Seek Goal,What Good,With Care,Lest Pluck,Where Fear
3,Fire and Plagues,Flames and Dread,Scold and Fraud,Morning Rays,All at Play,Wheat and Bread,Faith and G-d,Thanks to Say,Should be Named,To Avoid,Be Destroyed,Rule the Day
